,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
47,2021-09-30,172.6657895,157.4017451,182.5778617,172.6657895,172.6657895,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.1411748
48,2021-10-01,172.6773767,157.5376559,182.0476089,172.6773767,172.6773767,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.5849159
49,2021-10-04,172.7121383,157.6552144,182.6646741,172.7121383,172.7121383,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.170923
50,2021-10-05,172.7237255,157.4610172,182.7771987,172.7237255,172.7237255,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.3294727
51,2021-10-06,172.7353127,158.1327676,182.1802137,172.7353127,172.7353127,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.4497526
52,2021-10-07,172.7468999,158.3866619,182.2876301,172.7468999,172.7468999,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.2222852
53,2021-10-08,172.7584871,157.9160537,182.4688317,172.7584871,172.7584871,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.6660263
54,2021-10-11,172.7932487,158.3919946,183.1337496,172.7932487,172.7932487,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.2520334
55,2021-10-12,172.8048359,157.5398976,182.5179254,172.8048359,172.8048359,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.4105831
56,2021-10-13,172.8164231,157.3259803,181.2827519,172.8164231,172.8164231,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.530863
57,2021-10-14,172.8280103,156.4444183,182.824567,172.8280103,172.8280103,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.3033956
58,2021-10-15,172.8395975,157.9271996,181.642569,172.8395975,172.8395975,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.7471367
59,2021-10-18,172.8743591,158.054386,182.2838885,172.8743591,172.8743591,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.3331438
60,2021-10-19,172.8859463,158.2113008,181.3827853,172.8859463,172.8859463,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.4916935
61,2021-10-20,172.8975335,158.5550895,183.7073238,172.8975335,172.8975335,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.6119734
62,2021-10-21,172.9091207,158.8426917,182.3562391,172.9091207,172.9091207,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.384506
63,2021-10-22,172.9207078,158.7419932,182.6410783,172.9207078,172.9207078,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.8282471
64,2021-10-25,172.9554694,158.8573375,182.2266033,172.9554694,172.9554694,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.4142541
65,2021-10-26,172.9670566,158.8968253,182.3344168,172.9670566,172.9670566,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,-2.394252798,0,0,0,170.5728038
66,2021-10-27,172.9786438,159.4629479,183.4173166,172.9786438,172.9786438,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,-2.285560092,0,0,0,170.6930837
67,2021-10-28,172.990231,158.718753,183.3971593,172.990231,172.990231,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,-2.524614684,0,0,0,170.4656163
68,2021-10-29,173.0018182,157.9599538,182.4366402,173.0018182,173.0018182,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,-3.09246075,0,0,0,169.9093575
69,2021-11-01,173.0365798,157.7287222,182.0415877,173.0365798,173.0365798,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,-2.541215299,0,0,0,170.4953645
